6419
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,1609,1607,,,,
星期二,,1607,1609,,,,
星期三,,1607,1609,,,,
星期四,1607,,1609,,,,
星期五,,,,1609,1607,,
6420
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,,1607,,,
星期二,,,,,,,
星期三,,,,1607,,,
星期四,,,,,1607,,
星期五,,1607,1607,,,,
6421
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,1607,,,,,,
星期二,,,,,,1607,
星期三,1607,,,,,,
星期四,,,,,,1607,
星期五,,,,1607,,,
6422
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,,,1609,1607,
星期二,1607,1609,,,,,
星期三,,,,,1607,1609,
星期四,,1609,1607,,,,
星期五,,,,,1609,1607,
6423
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,,1609,1607,,
星期二,,,,,1607,1609,
星期三,,,,,1609,1607,
星期四,1609,1607,,,,,
星期五,1607,1609,,,,,
6429
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,,1608,,,
星期二,,,1608,,,,
星期三,,,,,,1608,
星期四,,,,,,1608,
星期五,,,,,,1608,
6430
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,1609,,,,
星期二,,,,1608,1609,,
星期三,1608,,,,,,
星期四,1608,1608,,,1609,1609,
星期五,1609,1608,,,,,
6431
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,1609,1608,,,,,
星期二,,,,1609,1608,,
星期三,1609,1608,,,,,
星期四,,,,1609,1608,,
星期五,,,,,1608,1609,
6432
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,1608,,,,,,
星期二,,,,,,1608,
星期三,,,,1608,,,
星期四,,,1608,,,,
星期五,,,1608,,,,
6433
,第一节,第二节,第三节,第四节,第五节,第六节,
星期一,,,,,,1608,
星期二,1608,,,,,,
星期三,,,1608,,,,
星期四,,,,1608,,,
星期五,1608,,,,,,
